hon_stake = 0.95
f         = 0.05
delta     = 5
w         = 25000
Probability of honest success: 0.0475604
Effective rate of honest advancement: 0.0399586
Adversarial stake ratio: 0.05
Adversarial success probability: 0.00256138
...equal to expected rate of adversarial advancement: 0.00256138
Evolution beginning...
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1950, density: 2.46756e-24)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1960, density: 1.88546e-24)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1970, density: 1.44069e-24)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1980, density: 1.10086e-24)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 1990, density: 8.41194e-25)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2000, density: 6.42786e-25)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2010, density: 4.91182e-25)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2020, density: 3.75339e-25)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2030, density: 2.86821e-25)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2040, density: 2.19181e-25)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2050, density: 1.67494e-25)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2060, density: 1.27997e-25)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2070, density: 9.78157e-26)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2080, density: 7.47517e-26)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2090, density: 5.71266e-26)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2100, density: 4.36576e-26)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2110, density: 3.33647e-26)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2120, density: 2.54988e-26)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2130, density: 1.94875e-26)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2140, density: 1.48935e-26)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2150, density: 1.13826e-26)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2160, density: 8.69949e-27)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2170, density: 6.64889e-27)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2180, density: 5.0817e-27)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2190, density: 3.88395e-27)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2200, density: 2.96854e-27)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2210, density: 2.2689e-27)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2220, density: 1.73418e-27)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2230, density: 1.32549e-27)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2240, density: 1.01312e-27)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2250, density: 7.74379e-28)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2260, density: 5.91901e-28)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2270, density: 4.52427e-28)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2280, density: 3.45821e-28)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2290, density: 2.64338e-28)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2300, density: 2.02056e-28)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2310, density: 1.5445e-28)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2320, density: 1.18061e-28)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2330, density: 9.02466e-29)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2340, density: 6.89856e-29)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2350, density: 5.27339e-29)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2360, density: 4.03112e-29)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2370, density: 3.08152e-29)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2380, density: 2.35564e-29)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2390, density: 1.80076e-29)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2400, density: 1.3766e-29)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2410, density: 1.05235e-29)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2420, density: 8.04489e-30)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2430, density: 6.1501e-30)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2440, density: 4.70163e-30)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2450, density: 3.59433e-30)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2460, density: 2.74783e-30)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2470, density: 2.10071e-30)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2480, density: 1.60601e-30)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2490, density: 1.22781e-30)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2500, density: 9.3868e-31)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2510, density: 7.17642e-31)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2520, density: 5.48658e-31)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2530, density: 4.19468e-31)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2540, density: 3.20701e-31)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2550, density: 2.45191e-31)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2560, density: 1.87461e-31)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2570, density: 1.43325e-31)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2580, density: 1.09581e-31)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2590, density: 8.37824e-32)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2600, density: 6.4058e-32)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2610, density: 4.89775e-32)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2620, density: 3.74476e-32)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2630, density: 2.86321e-32)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2640, density: 2.18921e-32)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2650, density: 1.67387e-32)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2660, density: 1.27986e-32)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2670, density: 9.78597e-33)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2680, density: 7.48254e-33)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2690, density: 5.72133e-33)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2700, density: 4.3747e-33)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2710, density: 3.34505e-33)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2720, density: 2.55776e-33)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2730, density: 1.95578e-33)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2740, density: 1.49549e-33)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2750, density: 1.14353e-33)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2760, density: 8.74414e-34)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2770, density: 6.68634e-34)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2780, density: 5.11285e-34)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2790, density: 3.90967e-34)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2800, density: 2.98965e-34)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2810, density: 2.28614e-34)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2820, density: 1.74819e-34)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2830, density: 1.33683e-34)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2840, density: 1.02227e-34)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2850, density: 7.81735e-35)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2860, density: 5.978e-35)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2870, density: 4.57146e-35)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2880, density: 3.49588e-35)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2890, density: 2.67337e-35)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2900, density: 2.0444e-35)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2910, density: 1.56342e-35)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2920, density: 1.1956e-35)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2930, density: 9.14326e-36)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2940, density: 6.99226e-36)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2950, density: 5.34733e-36)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2960, density: 4.08939e-36)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2970, density: 3.1274e-36)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2980, density: 2.39171e-36)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 2990, density: 1.8291e-36)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 3000, density: 1.39885e-36)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 3010, density: 1.0698e-36)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 3020, density: 8.18163e-37)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 3030, density: 6.25717e-37)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 3040, density: 4.78541e-37)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 3050, density: 3.65984e-37)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 3060, density: 2.79903e-37)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 3070, density: 2.1407e-37)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 3080, density: 1.63722e-37)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 3090, density: 1.25216e-37)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 3100, density: 9.57664e-38)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 3110, density: 7.32437e-38)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 3120, density: 5.60182e-38)
(adv. stake: 0.05, f: 0.05, delta: 5, step: 3130, density: 4.28441e-38)
